"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1290","has title","webkit","Tue Oct 14 15:06:24 CEST 2025","passed","Tue Oct 14 15:06:25 CEST 2025","","example.spec.js","",""
"","8870","Intentionally Failing - Wait and Assert the Page Title","webkit","Tue Oct 14 15:06:04 CEST 2025","failed","Tue Oct 14 15:06:12 CEST 2025","","01_Naviga_asst_wait\13WaitAndAssertTitle.spec.js","",""
"","14931","My First Playwright Test - 01_NavigateToApplication, Direct use Fixture: Browser","chromium","Tue Oct 14 15:04:56 CEST 2025","failed","Tue Oct 14 15:05:11 CEST 2025","","01_Naviga_asst_wait\11Navigate.spec.js","",""
"","30058","Login to App as a standard user","chromium","Tue Oct 14 15:05:14 CEST 2025","broken","Tue Oct 14 15:05:44 CEST 2025","Login as a Standard User to select a product item and then complete the checkout workflow with Performance Glitch User","03_checkoutWithSUandPGU.test.js","",""
"","6098","Click on the ""About"" side nav bar link to check whether user is navigated to sauce labs page","chromium","Tue Oct 14 15:05:14 CEST 2025","failed","Tue Oct 14 15:05:20 CEST 2025","@smoke: Login as a standard user to verify the products page and logout from the application","01_productPage.test.js","",""
"","16013","Wait and Assert the Page Title","chromium","Tue Oct 14 15:04:56 CEST 2025","failed","Tue Oct 14 15:05:12 CEST 2025","","01_Naviga_asst_wait\13WaitAndAssertTitle.spec.js","",""
"","6","Click on LinkedIn link and check whether user is navigated to LinkedIn page","chromium","Tue Oct 14 15:05:21 CEST 2025","skipped","Tue Oct 14 15:05:21 CEST 2025","Verify All Social Channel Links","01_productPage.test.js","",""
"","30101","Login to App as a standard user","firefox","Tue Oct 14 15:05:45 CEST 2025","broken","Tue Oct 14 15:06:15 CEST 2025","Login as a Standard User to select a product item and then complete the checkout workflow with Performance Glitch User","03_checkoutWithSUandPGU.test.js","",""
"","4189","Login to App as a problem user","webkit","Tue Oct 14 15:06:18 CEST 2025","failed","Tue Oct 14 15:06:23 CEST 2025","Login as a Problem user to select a product item and then complete the checkout workflow with Performance Glitch User","04_checkoutWithPUandPGU.test.js","",""
"","1805","Assert the Page Title","webkit","Tue Oct 14 15:06:03 CEST 2025","passed","Tue Oct 14 15:06:05 CEST 2025","","01_Naviga_asst_wait\12Assert_Title.spec.js","",""
"","6","Click on Twitter link and check whether user is navigated to twitter page","webkit","Tue Oct 14 15:06:22 CEST 2025","skipped","Tue Oct 14 15:06:22 CEST 2025","Verify All Social Channel Links","01_productPage.test.js","",""
"","6","Click on Twitter link and check whether user is navigated to twitter page","chromium","Tue Oct 14 15:05:21 CEST 2025","skipped","Tue Oct 14 15:05:21 CEST 2025","Verify All Social Channel Links","01_productPage.test.js","",""
"","30050","Login to App as a standard user","webkit","Tue Oct 14 15:06:16 CEST 2025","broken","Tue Oct 14 15:06:46 CEST 2025","Login as a Standard User to select a product item and then complete the checkout workflow with Performance Glitch User","03_checkoutWithSUandPGU.test.js","",""
"","7","Click on LinkedIn link and check whether user is navigated to LinkedIn page","webkit","Tue Oct 14 15:06:22 CEST 2025","skipped","Tue Oct 14 15:06:22 CEST 2025","Verify All Social Channel Links","01_productPage.test.js","",""
"","16011","My second Playwright Test - No Browser Context, Direct use Fixture: page","chromium","Tue Oct 14 15:04:56 CEST 2025","failed","Tue Oct 14 15:05:12 CEST 2025","","01_Naviga_asst_wait\11Navigate.spec.js","",""
"","7865","Login to App as a Performance glitch user","chromium","Tue Oct 14 15:05:21 CEST 2025","failed","Tue Oct 14 15:05:29 CEST 2025","Login as a Locked out user and Performance glitch user and complete the checkout workflow with Standard user","05_checkoutWithPGUandSU.test.js","",""
"","5532","Click on the ""About"" side nav bar link to check whether user is navigated to sauce labs page","firefox","Tue Oct 14 15:05:34 CEST 2025","failed","Tue Oct 14 15:05:40 CEST 2025","@smoke: Login as a standard user to verify the products page and logout from the application","01_productPage.test.js","",""
"","3838","Login to App as a Locked out user user","webkit","Tue Oct 14 15:06:20 CEST 2025","failed","Tue Oct 14 15:06:24 CEST 2025","Login as a Locked out user and Performance glitch user and complete the checkout workflow with Standard user","05_checkoutWithPGUandSU.test.js","",""
"","3079","get started link","firefox","Tue Oct 14 15:05:55 CEST 2025","passed","Tue Oct 14 15:05:59 CEST 2025","","example.spec.js","",""
"","29603","Login to App as a Performance glitch user","firefox","Tue Oct 14 15:05:46 CEST 2025","failed","Tue Oct 14 15:06:16 CEST 2025","Login as a Locked out user and Performance glitch user and complete the checkout workflow with Standard user","05_checkoutWithPGUandSU.test.js","",""
"","15768","Intentionally Failing - Wait and Assert the Page Title","chromium","Tue Oct 14 15:04:56 CEST 2025","failed","Tue Oct 14 15:05:12 CEST 2025","","01_Naviga_asst_wait\13WaitAndAssertTitle.spec.js","",""
"","1697","My First Playwright Test - 01_NavigateToApplication, Direct use Fixture: Browser","webkit","Tue Oct 14 15:06:01 CEST 2025","passed","Tue Oct 14 15:06:02 CEST 2025","","01_Naviga_asst_wait\11Navigate.spec.js","",""
"","1059","get started link","chromium","Tue Oct 14 15:05:24 CEST 2025","passed","Tue Oct 14 15:05:25 CEST 2025","","example.spec.js","",""
"","30098","Login to App as a standard user","firefox","Tue Oct 14 15:05:42 CEST 2025","broken","Tue Oct 14 15:06:12 CEST 2025","Login as a standard user to complete the checkout workflow","02_checkoutWorkflow.test.js","",""
"","30074","Login to App as a standard user","chromium","Tue Oct 14 15:04:56 CEST 2025","broken","Tue Oct 14 15:05:26 CEST 2025","@smoke: Login as a standard user to verify the products page and logout from the application","01_productPage.test.js","",""
"","3960","My second Playwright Test - No Browser Context, Direct use Fixture: page","firefox","Tue Oct 14 15:05:26 CEST 2025","passed","Tue Oct 14 15:05:30 CEST 2025","","01_Naviga_asst_wait\11Navigate.spec.js","",""
